tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,intent
498663,234048,True,Fri Dec 01 19:08:04 +0000 2017,@VerizonSupport It’s a cellular account,498662,498664.0,account_issue
1656972,505609,True,Mon Nov 06 03:59:16 +0000 2017,@VerizonSupport I'll send you a screenshot.,1656976,1656971.0,other
223798,169474,True,Thu Oct 05 04:29:20 +0000 2017,@VerizonSupport Multiple people have been having the same problem,,223797.0,service_outage
2648727,747201,True,Sun Nov 19 06:05:20 +0000 2017,@VerizonSupport The customer representative who helped me was not helpful and blaming me ! The only mistake I did is trusting that store manager ! It’s my hard earned money which I was been cheated !,2648725,2648728.0,complaint_feedback
968869,349991,True,Sat Oct 14 06:57:24 +0000 2017,@VerizonSupport FIOS-V0MQP,968870,968868.0,account_issue
388681,207969,True,Mon Oct 09 14:20:49 +0000 2017,@VerizonSupport hi! i got someone…surprisingly faster than the robot lady said. which is good news,388693,388680.0,support_request
828149,317287,True,Fri Oct 13 02:21:11 +0000 2017,"@VerizonSupport It’s been time honestly, I’m just hoping my building gets fios soon is there any way to request it ?",828148,828150.0,installation_availability
1820523,475058,True,Sun Oct 29 08:03:52 +0000 2017,@VerizonSupport Give me a number to call now. Forget this DM.,1820524,1820518.0,support_request
2838857,790054,True,Tue Nov 28 02:12:13 +0000 2017,"@VerizonSupport Wait a second, there are no contracts with Spectrum / Brighthouse",2838858,2838856.0,other
1743204,504912,True,Tue Nov 07 14:41:14 +0000 2017,@VerizonSupport Well it could be but somehow the chat was disconnected after I finish typing everything for the millionth time  😡,,1743203.0,support_request
415600,190140,True,Tue Oct 10 02:47:14 +0000 2017,@VerizonSupport I have to go outside to make a phone call service doesn’t work in the house,,415599.0,mobile_phone_issue
2217,116210,True,Tue Oct 31 22:32:20 +0000 2017,@VerizonSupport Banking. https://t.co/8535p04F9S,2216,2218.0,other
