tweet_id,customer_text,intent,intent_confidence,retrieval_similarity,decision,reason,human_decision,human_reason,word_count
1941717,@VerizonSupport Ok,other,0.21249712711378524,1.0,AUTO_HANDLE,Relevant historical troubleshooting evidence is available.,ESCALATE,The message is only an acknowledgement and does not provide enough context to safely handle automatically.,1
2380535,"@VerizonSupport Went with channel 11 for 2.4GHz, 161 for 5GHz. Laptop can now pickup the 5GHz band again but only when close to the router, seems installed Extender isn't working very far, iPhone still not even recognizing 5GHz.",router_equipment_issue,0.1425817624222081,0.4079917188887169,AUTO_HANDLE,Relevant historical troubleshooting evidence is available.,AUTO_HANDLE,The customer describes a specific Wi-Fi extender and range problem that is suitable for standard technical troubleshooting.,37
1852232,"@VerizonSupport According to the site,  everything is good.",service_outage,0.12179148065138701,0.4701447092273024,AUTO_HANDLE,Relevant historical troubleshooting evidence is available.,ESCALATE,"The message lacks enough context about the actual service problem, so a human should clarify the issue before automated handling.",7
1186938,"@VerizonSupport Tired of being rerouted to different departments, only to end back up in customer services",support_request,0.14211416256270776,0.4341613122596081,AUTO_HANDLE,Relevant historical troubleshooting evidence is available.,ESCALATE,"The customer is frustrated about being repeatedly rerouted between departments, which is a service-handling complaint that needs human attention.",15
2421268,@VerizonSupport Nobody can give me answers or return my money how is this right ?,billing_payment_issue,0.11661377990106309,0.4013752743054477,ESCALATE,Account or payment-related issue may require secure human handling.,ESCALATE,"The customer is asking about missing money or a refund, which is a payment-related issue requiring secure account-specific handling.",14
1751245,@VerizonSupport There is no button to click. My dilemma,account_issue,0.10815243091595499,0.6520989552484808,ESCALATE,Account or payment-related issue may require secure human handling.,ESCALATE,"The customer reports that an expected button is missing but the underlying account issue is unclear, so human clarification is appropriate.",8
1242058,@VerizonSupport Wired ethernet directly to the ONT.,internet_wifi_issue,0.1355679921313253,0.660330939463955,AUTO_HANDLE,Relevant historical troubleshooting evidence is available.,AUTO_HANDLE,"The customer provides a specific technical troubleshooting detail about a direct Ethernet connection to the ONT, which can continue through standard technical troubleshooting.",6
125620,@VerizonSupport I could look. I don’t understand why the internet is so bad though. I lose connection all the time,internet_wifi_issue,0.17624728841538667,0.3944846440718581,ESCALATE,Historical evidence is too weak for confident automated handling.,ESCALATE,"The customer reports repeated internet disconnections and significant ongoing service problems, so human support may be needed after standard troubleshooting.",19
188217,"@VerizonSupport Yes, I own a custom AV installation business. This is what I do. It's on your end.",internet_wifi_issue,0.15058488922959248,0.48702212232354253,AUTO_HANDLE,Relevant historical troubleshooting evidence is available.,ESCALATE,"The customer strongly disputes that the problem is on their side and claims it is Verizon's fault, so human investigation is appropriate.",17
363200,"@VerizonSupport yes, both version 5.9",other,0.169173976715924,0.9187432348287612,AUTO_HANDLE,Relevant historical troubleshooting evidence is available.,ESCALATE,The message only confirms a version number and does not provide enough context to determine the required action safely.,4
1943171,@VerizonSupport I’m now home and still have no service. It’s been over 4 hours. I deliver for a delivery app and can’t right now due to this. Please help.,service_outage,0.12462014848959439,0.49376590032322487,AUTO_HANDLE,Relevant historical troubleshooting evidence is available.,ESCALATE,"The customer has had no service for more than four hours and says the outage is preventing them from working, indicating a significant unresolved service issue.",28
